Dimension,NNZ_per_row,Sparsity,Raw_Time
3,1,0.1,1.73e-07,
4,1,0.1,1.61e-07,
5,1,0.1,3.58e-07,
6,1,0.1,1.88e-07,
7,1,0.1,2.02e-07,
8,1,0.1,1.51e-07,
9,1,0.1,2e-07,
10,1,0.1,1.94e-07,
11,2,0.1,5e-07,
12,2,0.1,3.54e-07,
13,2,0.1,7.57e-07,
14,2,0.1,5.44e-07,
15,2,0.1,4.11e-07,
16,2,0.1,4.61e-07,
17,2,0.1,4.47e-07,
18,2,0.1,6.26e-07,
19,2,0.1,4.02e-07,
20,2,0.1,7.37e-07,
21,3,0.1,8.41e-07,
22,3,0.1,1.045e-06,
23,3,0.1,9.35e-07,
24,3,0.1,6.92e-07,
25,3,0.1,1.117e-06,
26,3,0.1,9.27e-07,
27,3,0.1,1.298e-06,
28,3,0.1,1.04e-06,
29,3,0.1,1.154e-06,
30,3,0.1,9.25e-07,
31,4,0.1,1.747e-06,
32,4,0.1,1.654e-06,
33,4,0.1,1.379e-06,
34,4,0.1,1.936e-06,
35,4,0.1,1.607e-06,
36,4,0.1,1.797e-06,
37,4,0.1,1.615e-06,
38,4,0.1,2.025e-06,
39,4,0.1,1.762e-06,
40,4,0.1,1.82e-06,
41,5,0.1,2.329e-06,
42,5,0.1,2.152e-06,
43,5,0.1,3.096e-06,
44,5,0.1,2.437e-06,
45,5,0.1,3.286e-06,
46,5,0.1,2.948e-06,
47,5,0.1,2.456e-06,
48,5,0.1,2.319e-06,
49,5,0.1,2.429e-06,
50,5,0.1,2.585e-06,
51,6,0.1,3.536e-06,
52,6,0.1,5.119e-06,
53,6,0.1,3.612e-06,
54,6,0.1,4.46e-06,
55,6,0.1,3.39e-06,
56,6,0.1,3.695e-06,
57,6,0.1,3.965e-06,
58,6,0.1,5.39e-06,
59,6,0.1,5.516e-06,
60,6,0.1,5.418e-06,
61,7,0.1,4.893e-06,
62,7,0.1,5.584e-06,
63,7,0.1,5.073e-06,
64,7,0.1,4.775e-06,
65,7,0.1,5.022e-06,
66,7,0.1,5.292e-06,
67,7,0.1,5.292e-06,
68,7,0.1,5.486e-06,
69,7,0.1,7.221e-06,
70,7,0.1,5.467e-06,
71,8,0.1,6.469e-06,
72,8,0.1,6.969e-06,
73,8,0.1,1.0023e-05,
74,8,0.1,7.002e-06,
75,8,0.1,7.365e-06,
76,8,0.1,6.928e-06,
77,8,0.1,1.0531e-05,
78,8,0.1,7.549e-06,
79,8,0.1,1.1597e-05,
80,8,0.1,7.842e-06,
81,9,0.1,1.3697e-05,
82,9,0.1,8.368e-06,
83,9,0.1,1.3077e-05,
84,9,0.1,9.315e-06,
85,9,0.1,9.138e-06,
86,9,0.1,9.306e-06,
87,9,0.1,9.672e-06,
88,9,0.1,1.4037e-05,
89,9,0.1,1.0111e-05,
90,9,0.1,1.0736e-05,
91,10,0.1,1.8626e-05,
92,10,0.1,1.2369e-05,
93,10,0.1,1.2417e-05,
94,10,0.1,1.6869e-05,
95,10,0.1,1.2162e-05,
96,10,0.1,1.2208e-05,
97,10,0.1,1.2634e-05,
98,10,0.1,1.2916e-05,
99,10,0.1,1.2309e-05,
100,10,0.1,1.2644e-05,
101,11,0.1,1.5069e-05,
102,11,0.1,2.4147e-05,
103,11,0.1,2.3296e-05,
104,11,0.1,1.4966e-05,
105,11,0.1,2.4455e-05,
106,11,0.1,1.7209e-05,
107,11,0.1,1.5838e-05,
108,11,0.1,2.3922e-05,
109,11,0.1,1.6828e-05,
110,11,0.1,1.5869e-05,
111,12,0.1,2.8479e-05,
112,12,0.1,2.9103e-05,
113,12,0.1,2.0399e-05,
114,12,0.1,2.0324e-05,
115,12,0.1,1.9317e-05,
116,12,0.1,1.9917e-05,
117,12,0.1,1.9536e-05,
118,12,0.1,1.9865e-05,
119,12,0.1,3.0763e-05,
120,12,0.1,2.2167e-05,
121,13,0.1,2.2604e-05,
122,13,0.1,2.337e-05,
123,13,0.1,2.2989e-05,
124,13,0.1,3.7525e-05,
125,13,0.1,2.5948e-05,
126,13,0.1,2.4236e-05,
127,13,0.1,2.332e-05,
128,13,0.1,2.4054e-05,
129,13,0.1,2.4371e-05,
130,13,0.1,4.0402e-05,
131,14,0.1,2.8507e-05,
132,14,0.1,5.5358e-05,
133,14,0.1,5.2315e-05,
134,14,0.1,6.2725e-05,
135,14,0.1,5.431e-05,
136,14,0.1,5.4479e-05,
137,14,0.1,2.9435e-05,
138,14,0.1,5.0041e-05,
139,14,0.1,2.8366e-05,
140,14,0.1,4.6884e-05,
141,15,0.1,3.3508e-05,
142,15,0.1,5.9831e-05,
143,15,0.1,5.5065e-05,
144,15,0.1,3.5792e-05,
145,15,0.1,3.4184e-05,
146,15,0.1,5.9984e-05,
147,15,0.1,5.5021e-05,
148,15,0.1,3.6642e-05,
149,15,0.1,3.4376e-05,
150,15,0.1,4.0154e-05,
151,16,0.1,4.243e-05,
152,16,0.1,6.6887e-05,
153,16,0.1,4.2093e-05,
154,16,0.1,4.1977e-05,
155,16,0.1,4.0107e-05,
156,16,0.1,4.0456e-05,
157,16,0.1,6.7783e-05,
158,16,0.1,4.3685e-05,
159,16,0.1,6.9265e-05,
160,16,0.1,6.7715e-05,
161,17,0.1,7.7381e-05,
162,17,0.1,4.8019e-05,
163,17,0.1,8.153e-05,
164,17,0.1,7.9454e-05,
165,17,0.1,8.7292e-05,
166,17,0.1,7.9855e-05,
167,17,0.1,4.8866e-05,
168,17,0.1,5.1968e-05,
169,17,0.1,4.8168e-05,
170,17,0.1,4.7949e-05,
171,18,0.1,5.9861e-05,
172,18,0.1,5.6864e-05,
173,18,0.1,5.4358e-05,
174,18,0.1,5.9543e-05,
175,18,0.1,5.5695e-05,
176,18,0.1,6.0243e-05,
177,18,0.1,5.5478e-05,
178,18,0.1,9.5372e-05,
179,18,0.1,6.0935e-05,
180,18,0.1,5.7544e-05,
181,19,0.1,6.4243e-05,
182,19,0.1,0.000120604,
183,19,0.1,6.5614e-05,
184,19,0.1,6.5376e-05,
185,19,0.1,0.00010691,
186,19,0.1,6.4027e-05,
187,19,0.1,7.0792e-05,
188,19,0.1,0.000111295,
189,19,0.1,0.000113882,
190,19,0.1,0.000122316,
191,20,0.1,8.2678e-05,
192,20,0.1,0.000128737,
193,20,0.1,7.9926e-05,
194,20,0.1,7.585e-05,
195,20,0.1,7.3419e-05,
196,20,0.1,8.0368e-05,
197,20,0.1,0.000125684,
198,20,0.1,7.3914e-05,
199,20,0.1,7.585e-05,
200,20,0.1,8.185e-05,
201,21,0.1,9.5055e-05,
202,21,0.1,9.6056e-05,
203,21,0.1,0.000186159,
204,21,0.1,0.000182159,
205,21,0.1,0.000185282,
206,21,0.1,0.000106331,
207,21,0.1,0.00010587,
208,21,0.1,9.7898e-05,
209,21,0.1,0.000165221,
210,21,0.1,0.000186565,
211,22,0.1,0.000105351,
212,22,0.1,0.000111457,
213,22,0.1,0.000110341,
214,22,0.1,0.000112558,
215,22,0.1,0.000118764,
216,22,0.1,0.000115296,
217,22,0.1,0.000157608,
218,22,0.1,0.000109311,
219,22,0.1,0.000206756,
220,22,0.1,0.000115547,
221,23,0.1,0.000119195,
222,23,0.1,0.000119713,
223,23,0.1,0.000120109,
224,23,0.1,0.000131157,
225,23,0.1,0.000218043,
226,23,0.1,0.000122673,
227,23,0.1,0.000131512,
228,23,0.1,0.000247745,
229,23,0.1,0.000140697,
230,23,0.1,0.000133866,
231,24,0.1,0.000148933,
232,24,0.1,0.000270356,
233,24,0.1,0.00014672,
234,24,0.1,0.000151471,
235,24,0.1,0.000151978,
236,24,0.1,0.00027763,
237,24,0.1,0.000259458,
238,24,0.1,0.000259243,
239,24,0.1,0.000254816,
240,24,0.1,0.00018991,
241,25,0.1,0.000155066,
242,25,0.1,0.000279796,
243,25,0.1,0.000154787,
244,25,0.1,0.000300384,
245,25,0.1,0.000167543,
246,25,0.1,0.000167933,
247,25,0.1,0.000158347,
248,25,0.1,0.00017045,
249,25,0.1,0.000292411,
250,25,0.1,0.000304013,
251,26,0.1,0.000319673,
252,26,0.1,0.000168732,
253,26,0.1,0.000176013,
254,26,0.1,0.000190868,
255,26,0.1,0.000178217,
256,26,0.1,0.000305415,
257,26,0.1,0.000181484,
258,26,0.1,0.000309706,
259,26,0.1,0.000182306,
260,26,0.1,0.000322244,
261,27,0.1,0.000185177,
262,27,0.1,0.000200776,
263,27,0.1,0.000187951,
264,27,0.1,0.000364301,
265,27,0.1,0.000186557,
266,27,0.1,0.000364686,
267,27,0.1,0.000298267,
268,27,0.1,0.000210011,
269,27,0.1,0.000195049,
270,27,0.1,0.000370286,
271,28,0.1,0.000349419,
272,28,0.1,0.000219742,
273,28,0.1,0.000216033,
274,28,0.1,0.000392468,
275,28,0.1,0.000225214,
276,28,0.1,0.000218347,
277,28,0.1,0.000380226,
278,28,0.1,0.000212389,
279,28,0.1,0.000217617,
280,28,0.1,0.000379004,
281,29,0.1,0.000414158,
282,29,0.1,0.000331568,
283,29,0.1,0.0002517,
284,29,0.1,0.000249579,
285,29,0.1,0.000235643,
286,29,0.1,0.000364795,
287,29,0.1,0.00025637,
288,29,0.1,0.000234971,
289,29,0.1,0.000234504,
290,29,0.1,0.000254885,
291,30,0.1,0.000251677,
292,30,0.1,0.0004824,
293,30,0.1,0.000270963,
294,30,0.1,0.000469258,
295,30,0.1,0.000483179,
296,30,0.1,0.000260342,
297,30,0.1,0.000295411,
298,30,0.1,0.000259831,
299,30,0.1,0.000266534,
300,30,0.1,0.000278649,
301,31,0.1,0.000423415,
302,31,0.1,0.000265527,
303,31,0.1,0.000532931,
304,31,0.1,0.00027838,
305,31,0.1,0.000293626,
306,31,0.1,0.000281797,
307,31,0.1,0.000306408,
308,31,0.1,0.000275533,
309,31,0.1,0.000432395,
310,31,0.1,0.000274907,
311,32,0.1,0.000292443,
312,32,0.1,0.000518604,
313,32,0.1,0.000418744,
314,32,0.1,0.000332489,
315,32,0.1,0.000309869,
316,32,0.1,0.000582544,
317,32,0.1,0.000319088,
318,32,0.1,0.000561494,
319,32,0.1,0.000316257,
320,32,0.1,0.000450109,
321,33,0.1,0.000355615,
322,33,0.1,0.000341396,
