Dimension,NNZ_per_row,Sparsity,TACO_Time
3,3,0.95,0.0674791,
4,4,0.95,0.0660471,
5,5,0.95,0.0630399,
6,6,0.95,0.0637093,
7,7,0.95,0.0631185,
8,8,0.95,0.0666132,
9,9,0.95,0.064348,
10,10,0.95,0.0649576,
11,11,0.95,0.0603459,
12,12,0.95,0.0640792,
13,13,0.95,0.0636953,
14,14,0.95,0.0655342,
15,15,0.95,0.063714,
16,16,0.95,0.0622617,
17,17,0.95,0.0653778,
18,18,0.95,0.0644783,
19,19,0.95,0.0674165,
20,19,0.95,0.0637551,
21,20,0.95,0.0650692,
22,21,0.95,0.0651005,
23,22,0.95,0.0621239,
24,23,0.95,0.0645266,
25,24,0.95,0.0626637,
26,25,0.95,0.0648132,
27,26,0.95,0.063254,
28,27,0.95,0.0649851,
29,28,0.95,0.0661027,
30,29,0.95,0.0675422,
31,30,0.95,0.0613386,
32,31,0.95,0.0681457,
33,32,0.95,0.0698304,
34,33,0.95,0.0615899,
35,34,0.95,0.0651108,
36,35,0.95,0.0611817,
37,36,0.95,0.0642133,
38,37,0.95,0.0642938,
39,38,0.95,0.0655972,
40,38,0.95,0.0657424,
41,39,0.95,0.0662085,
42,40,0.95,0.0666373,
43,41,0.95,0.066559,
44,42,0.95,0.0674266,
45,43,0.95,0.066074,
46,44,0.95,0.0613683,
47,45,0.95,0.0686693,
48,46,0.95,0.0622406,
49,47,0.95,0.0670586,
50,48,0.95,0.0665438,
51,49,0.95,0.0664334,
52,50,0.95,0.0649677,
53,51,0.95,0.0665389,
54,52,0.95,0.0654083,
55,53,0.95,0.0660155,
56,54,0.95,0.0624027,
57,55,0.95,0.0691383,
58,56,0.95,0.0631063,
59,57,0.95,0.0624228,
60,57,0.95,0.0661269,
61,58,0.95,0.0647283,
62,59,0.95,0.0662308,
63,60,0.95,0.0658039,
64,61,0.95,0.0691483,
65,62,0.95,0.0686131,
66,63,0.95,0.0641238,
67,64,0.95,0.0656653,
68,65,0.95,0.0640949,
69,66,0.95,0.0641142,
70,67,0.95,0.0662486,
71,68,0.95,0.0644253,
72,69,0.95,0.0683346,
73,70,0.95,0.0634807,
74,71,0.95,0.0673009,
75,72,0.95,0.0659123,
76,73,0.95,0.0655921,
77,74,0.95,0.0675237,
78,75,0.95,0.0669319,
79,76,0.95,0.0679829,
80,76,0.95,0.0651267,
81,77,0.95,0.0628578,
82,78,0.95,0.0674977,
83,79,0.95,0.0658342,
84,80,0.95,0.0676887,
85,81,0.95,0.0659487,
86,82,0.95,0.0694295,
87,83,0.95,0.069016,
88,84,0.95,0.0682855,
89,85,0.95,0.0704695,
90,86,0.95,0.0678555,
91,87,0.95,0.0665776,
92,88,0.95,0.0682516,
93,89,0.95,0.0673659,
94,90,0.95,0.0678001,
95,91,0.95,0.0675964,
96,92,0.95,0.0662846,
97,93,0.95,0.0686459,
98,94,0.95,0.0702094,
99,95,0.95,0.0693545,
100,95,0.95,0.0661232,
101,96,0.95,0.0680772,
102,97,0.95,0.0681476,
103,98,0.95,0.0669236,
104,99,0.95,0.0664516,
105,100,0.95,0.0685668,
106,101,0.95,0.0689458,
107,102,0.95,0.067338,
108,103,0.95,0.0665444,
109,104,0.95,0.0705248,
110,105,0.95,0.0668254,
111,106,0.95,0.0697373,
112,107,0.95,0.0713524,
113,108,0.95,0.0690918,
114,109,0.95,0.0686314,
115,110,0.95,0.068578,
116,111,0.95,0.0707468,
117,112,0.95,0.0672907,
118,113,0.95,0.0704047,
119,114,0.95,0.0708377,
120,114,0.95,0.0676911,
121,115,0.95,0.0702852,
122,116,0.95,0.0680852,
123,117,0.95,0.0673378,
124,118,0.95,0.0703288,
125,119,0.95,0.0678233,
126,120,0.95,0.0704621,
127,121,0.95,0.0690575,
128,122,0.95,0.0682233,
129,123,0.95,0.0694094,
130,124,0.95,0.0681744,
131,125,0.95,0.0687437,
132,126,0.95,0.0683926,
133,127,0.95,0.0685943,
134,128,0.95,0.0691546,
135,129,0.95,0.068332,
136,130,0.95,0.0697743,
137,131,0.95,0.069652,
138,132,0.95,0.0711407,
139,133,0.95,0.0687111,
140,133,0.95,0.0687809,
141,134,0.95,0.0690076,
142,135,0.95,0.0711761,
143,136,0.95,0.0691824,
144,137,0.95,0.0677555,
145,138,0.95,0.0672199,
146,139,0.95,0.0720445,
147,140,0.95,0.0700528,
148,141,0.95,0.069239,
149,142,0.95,0.0698329,
150,143,0.95,0.0702585,
151,144,0.95,0.0710824,
152,145,0.95,0.068094,
153,146,0.95,0.0721918,
154,147,0.95,0.0705986,
155,148,0.95,0.073416,
156,149,0.95,0.0704293,
157,150,0.95,0.0699322,
158,151,0.95,0.0706331,
159,152,0.95,0.0708791,
160,152,0.95,0.0710536,
161,153,0.95,0.0739534,
162,154,0.95,0.0690158,
163,155,0.95,0.071247,
164,156,0.95,0.0737847,
165,157,0.95,0.0716108,
166,158,0.95,0.0694772,
167,159,0.95,0.0715933,
168,160,0.95,0.0718311,
169,161,0.95,0.0717339,
170,162,0.95,0.0720871,
171,163,0.95,0.073145,
172,164,0.95,0.069854,
173,165,0.95,0.0723243,
174,166,0.95,0.0726313,
175,167,0.95,0.0731332,
176,168,0.95,0.0731208,
177,169,0.95,0.0727987,
178,170,0.95,0.0751162,
179,171,0.95,0.073465,
180,171,0.95,0.0750661,
181,172,0.95,0.0756447,
182,173,0.95,0.0740839,
183,174,0.95,0.0745169,
184,175,0.95,0.0752115,
185,176,0.95,0.0741744,
186,177,0.95,0.0737309,
187,178,0.95,0.0762477,
188,179,0.95,0.0742557,
189,180,0.95,0.0744215,
190,181,0.95,0.0756301,
191,182,0.95,0.0786588,
192,183,0.95,0.0763707,
193,184,0.95,0.0754904,
194,185,0.95,0.076118,
195,186,0.95,0.0755185,
196,187,0.95,0.0745497,
197,188,0.95,0.075931,
