Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,1,0.3,1.98e-07,0.0123589,
4,2,0.3,3.55e-07,0.00388821,
5,2,0.3,2.85e-07,0.00429223,
6,2,0.3,8.62e-07,0.00315091,
7,3,0.3,4.78e-07,0.00457736,
8,3,0.3,8.21e-07,0.00321653,
9,3,0.3,5.85e-07,0.00390499,
10,3,0.3,5.93e-07,0.00363898,
11,4,0.3,1.131e-06,0.00429189,
12,4,0.3,1.143e-06,0.0031736,
13,4,0.3,9.29e-07,0.00333984,
14,5,0.3,1.426e-06,0.00319396,
15,5,0.3,1.84e-06,0.00654549,
16,5,0.3,6.4878e-05,0.00344724,
17,6,0.3,2.034e-06,0.00430215,
18,6,0.3,2.212e-06,0.00305578,
19,6,0.3,1.933e-06,0.00481743,
20,6,0.3,1.817e-06,0.00296539,
21,7,0.3,2.527e-06,0.00330497,
22,7,0.3,2.78e-06,0.00366155,
23,7,0.3,2.468e-06,0.00295242,
24,8,0.3,3.374e-06,0.00334546,
25,8,0.3,2.93e-06,0.00303512,
26,8,0.3,2.812e-06,0.00467429,
27,9,0.3,5.387e-06,0.0031577,
28,9,0.3,3.994e-06,0.00292357,
29,9,0.3,3.881e-06,0.00314364,
30,9,0.3,4.588e-06,0.00319812,
31,10,0.3,5.705e-06,0.00364901,
32,10,0.3,5.582e-06,0.00300598,
33,10,0.3,5.05e-06,0.00307525,
34,11,0.3,6.973e-06,0.00204775,
35,11,0.3,6.811e-06,0.00400383,
36,11,0.3,6.744e-06,0.00142129,
37,12,0.3,8.448e-06,0.00412282,
38,12,0.3,8.286e-06,0.00260344,
39,12,0.3,8.431e-06,0.00303049,
40,12,0.3,8.709e-06,0.00342409,
41,13,0.3,9.908e-06,0.0038309,
42,13,0.3,1.0865e-05,0.00323447,
43,13,0.3,1.5134e-05,0.00304021,
44,14,0.3,1.1715e-05,0.00244185,
45,14,0.3,1.2686e-05,0.00240277,
46,14,0.3,1.2236e-05,0.00359605,
47,15,0.3,1.3899e-05,0.00528602,
48,15,0.3,1.3382e-05,0.00324885,
49,15,0.3,1.3526e-05,0.00349209,
50,16,0.3,1.7423e-05,0.00342142,
51,16,0.3,1.5993e-05,0.0030497,
52,16,0.3,2.5153e-05,0.00313967,
53,16,0.3,1.6981e-05,0.00370651,
54,17,0.3,2.9516e-05,0.00338349,
