Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
100,5,5,1.3716e-05,1.1962e-05,1.1484e-05,1.013e-05,8.048e-06,9.915e-06,0.000109507,0.000104671,0.000117147,7.959e-06,7.447e-06
127,5,5,1.2235e-05,9.947e-06,1.3985e-05,1.2592e-05,8.774e-06,1.2864e-05,0.000135547,0.000144876,0.000136977,9.318e-06,1.0988e-05
162,5,5,2.0101e-05,1.5217e-05,2.2596e-05,2.0086e-05,1.3792e-05,2.2104e-05,0.000272942,0.000278177,0.000326132,2.4959e-05,1.3807e-05
207,5,5,3.2182e-05,2.5319e-05,3.1991e-05,2.879e-05,2.3415e-05,3.8126e-05,0.000515058,0.000523218,0.000541179,4.6183e-05,2.4718e-05
264,5,5,5.7071e-05,4.7824e-05,6.1386e-05,5.7853e-05,4.4353e-05,6.8712e-05,0.00101794,0.00101737,0.00168753,5.8396e-05,4.6611e-05
336,5,5,0.000100763,9.0055e-05,0.000105814,0.000103494,8.178e-05,0.000280468,0.00199646,0.00203437,0.0032946,0.000100925,8.1554e-05
428,5,5,0.000208687,0.000193003,0.000220898,0.000207399,0.000184453,0.000209807,0.00486953,0.00440324,0.00423815,0.000204196,0.000197698
546,5,5,0.00039233,0.000381436,0.000414464,0.000406207,0.000385332,0.000394623,0.00888161,0.00848072,0.00894938,0.000397113,0.00049752
695,5,5,0.000751928,0.000719084,0.000779153,0.0010556,0.000962965,0.000736504,0.0170185,0.0161266,0.0161662,0.000745614,0.000719315
886,5,5,0.00147964,0.00154201,0.00154372,0.00201605,0.00144654,0.00148015,0.0318447,0.0319561,0.0325725,0.00149728,0.00270117
1129,5,5,0.00293235,0.00309059,0.00321401,0.00313947,0.00323164,0.00290062,0.0644777,0.0633823,0.0645053,0.00316514,0.00452025
1438,5,5,0.00580345,0.00592099,0.00648276,0.00577906,0.00585287,0.00581689,0.126903,0.127562,0.125788,0.00641741,0.00596208
1833,5,5,0.0121026,0.0117626,0.0124079,0.0116882,0.0116422,0.011936,0.252458,0.252342,0.254272,0.011991,0.0166211
2336,5,5,0.0236492,0.0242414,0.0246292,0.0233754,0.0236222,0.0240496,0.513077,0.509709,0.51411,0.0237092,0.0277626
2976,5,5,0.0498464,0.0484535,0.049854,0.0479732,0.0472346,0.0506464,1.03582,1.04007,1.04108,0.0511036,0.0481966
3793,5,5,0.104583,0.0995372,0.105962,0.099497,0.0986966,0.10448,2.11987,2.1272,2.12433,0.104213,0.102083
4833,5,5,0.215634,0.202642,0.219101,0.203646,0.203076,0.216619,4.33667,4.35,4.34091,0.211505,0.200375
