Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
100,5,5,1.3716e-05,1.1962e-05,1.1484e-05,1.013e-05,8.048e-06,9.915e-06,
127,5,5,1.2235e-05,9.947e-06,1.3985e-05,1.2592e-05,8.774e-06,1.2864e-05,
162,5,5,2.0101e-05,1.5217e-05,2.2596e-05,2.0086e-05,1.3792e-05,2.2104e-05,
207,5,5,3.2182e-05,2.5319e-05,3.1991e-05,2.879e-05,2.3415e-05,3.8126e-05,
264,5,5,5.7071e-05,4.7824e-05,6.1386e-05,5.7853e-05,4.4353e-05,6.8712e-05,
336,5,5,0.000100763,9.0055e-05,0.000105814,0.000103494,8.178e-05,0.000280468,
428,5,5,0.000208687,0.000193003,0.000220898,0.000207399,0.000184453,0.000209807,
546,5,5,0.00039233,0.000381436,0.000414464,0.000406207,0.000385332,0.000394623,
695,5,5,0.000751928,0.000719084,0.000779153,0.0010556,0.000962965,0.000736504,
886,5,5,0.00147964,0.00154201,0.00154372,0.00201605,0.00144654,0.00148015,
1129,5,5,0.00293235,0.00309059,0.00321401,0.00313947,0.00323164,0.00290062,
1438,5,5,0.00580345,0.00592099,0.00648276,0.00577906,0.00585287,0.00581689,
1833,5,5,0.0121026,0.0117626,0.0124079,0.0116882,0.0116422,0.011936,
2336,5,5,0.0236492,0.0242414,0.0246292,0.0233754,0.0236222,0.0240496,
2976,5,5,0.0498464,0.0484535,0.049854,0.0479732,0.0472346,0.0506464,
3793,5,5,0.104583,0.0995372,0.105962,0.099497,0.0986966,0.10448,
4833,5,5,0.215634,0.202642,0.219101,0.203646,0.203076,0.216619,
6158,5,5,0.44355,0.416572,0.448648,0.415265,0.415048,0.444101,
7848,5,5,0.916207,0.855529,0.928044,0.858381,0.856176,0.915888,
10000,5,5,1.91274,1.75717,1.9427,1.7541,1.72534,1.88971,
100,5,10,9.605e-06,6.848e-06,9.822e-06,6.756e-06,5.79e-06,7.564e-06,
127,5,10,1.2428e-05,1.2348e-05,1.2934e-05,1.2681e-05,1.2098e-05,1.5667e-05,
162,5,10,2.9764e-05,2.4175e-05,2.4319e-05,2.5307e-05,2.2293e-05,2.7215e-05,
207,5,10,4.7525e-05,7.6648e-05,5.1727e-05,4.7602e-05,4.1909e-05,4.6735e-05,
264,5,10,9.0542e-05,8.6007e-05,9.3092e-05,9.356e-05,8.9471e-05,8.7435e-05,
336,5,10,0.000165732,0.000160375,0.000172369,0.000171484,0.000162129,0.000163923,
428,5,10,0.000333231,0.000322507,0.000340495,0.000335766,0.000317827,0.000324884,
546,5,10,0.000643673,0.000627816,0.00083473,0.000648461,0.000626542,0.000631643,
695,5,10,0.00125081,0.00121708,0.0012849,0.00125222,0.00122066,0.00123687,
886,5,10,0.00256605,0.00292023,0.00262832,0.0025576,0.00250269,0.00255175,
1129,5,10,0.00535238,0.00505309,0.00533047,0.00532075,0.00502636,0.0051863,
1438,5,10,0.0105559,0.0101237,0.0106628,0.0102965,0.0101596,0.0103988,
1833,5,10,0.0218211,0.020929,0.0219228,0.021185,0.0212596,0.0217874,
2336,5,10,0.0443618,0.0435283,0.0455467,0.0434502,0.0439706,0.0456478,
2976,5,10,0.0947985,0.0888758,0.0957252,0.0893275,0.0888554,0.0936941,
3793,5,10,0.197097,0.184189,0.198307,0.184253,0.183757,0.1961,
4833,5,10,0.407146,0.377334,0.4109,0.378776,0.379593,0.408313,
6158,5,10,0.83443,0.778927,0.842972,0.778116,0.779597,0.833971,
7848,5,10,1.7742,1.61084,1.80495,1.63911,1.64149,1.80425,
10000,5,10,3.75855,3.31398,3.74658,3.31331,3.37584,3.74823,
100,5,25,1.1178e-05,1.0976e-05,1.0944e-05,1.075e-05,1.1248e-05,1.1042e-05,
127,5,25,3.0988e-05,4.1791e-05,4.6801e-05,4.5121e-05,2.356e-05,2.3951e-05,
162,5,25,4.9539e-05,4.5758e-05,9.2655e-05,4.6349e-05,4.5582e-05,8.5484e-05,
207,5,25,8.7375e-05,8.4025e-05,0.000177242,8.5893e-05,8.5151e-05,8.4299e-05,
