Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2
100,5,5,4.809e-06,6.687e-06,
127,5,5,1.0976e-05,9.828e-06,
162,5,5,1.9837e-05,1.7046e-05,
207,5,5,3.2923e-05,2.7938e-05,
264,5,5,5.5155e-05,5.2658e-05,
336,5,5,0.000101232,9.5331e-05,
428,5,5,0.00020324,0.00019097,
546,5,5,0.000399822,0.000401729,
695,5,5,0.00075321,0.000762978,
886,5,5,0.00150708,0.00162475,
1129,5,5,0.00297381,0.00298828,
1438,5,5,0.0059099,0.00594698,
1833,5,5,0.0122056,0.0119053,
2336,5,5,0.0248654,0.0243727,
2976,5,5,0.0508182,0.0491232,
3793,5,5,0.103925,0.101151,
4833,5,5,0.216138,0.207387,
6158,5,5,0.44409,0.426697,
7848,5,5,0.918851,0.88068,
10000,5,5,1.92284,1.80478,
100,5,10,6.532e-06,6.884e-06,
127,5,10,1.4728e-05,1.451e-05,
162,5,10,4.4385e-05,2.6461e-05,
207,5,10,4.7963e-05,4.7649e-05,
264,5,10,0.00015834,9.4861e-05,
336,5,10,0.000208606,0.000172575,
428,5,10,0.000428839,0.000345014,
546,5,10,0.000653347,0.000677146,
695,5,10,0.00127535,0.00132766,
886,5,10,0.00261873,0.00270236,
1129,5,10,0.00529952,0.00543351,
1438,5,10,0.0106689,0.0110938,
1833,5,10,0.0224815,0.0226348,
2336,5,10,0.045233,0.0463365,
2976,5,10,0.0967491,0.0956593,
3793,5,10,0.200705,0.197351,
4833,5,10,0.413715,0.406179,
6158,5,10,0.850625,0.823099,
7848,5,10,1.77092,1.69866,
10000,5,10,3.6979,3.56868,
100,5,25,1.1e-05,2.0076e-05,
127,5,25,4.881e-05,2.7096e-05,
162,5,25,4.8633e-05,7.631e-05,
207,5,25,8.8115e-05,0.000131388,
264,5,25,0.000222023,0.000233326,
336,5,25,0.000325729,0.000362409,
428,5,25,0.000667592,0.000749848,
546,5,25,0.00134058,0.00151877,
695,5,25,0.00271078,0.00305484,
886,5,25,0.0057471,0.00627769,
1129,5,25,0.0116066,0.0130461,
1438,5,25,0.0240946,0.0264193,
1833,5,25,0.0517168,0.055104,
2336,5,25,0.106121,0.113733,
2976,5,25,0.220257,0.235506,
3793,5,25,0.453878,0.486287,
4833,5,25,0.947224,1.00628,
6158,5,25,1.99906,2.0734,
7848,5,25,4.23724,4.29576,
10000,5,25,8.89497,8.87986,
100,5,50,1.6739e-05,2.3711e-05,
127,5,50,3.759e-05,4.7942e-05,
162,5,50,9.72e-05,8.9478e-05,
207,5,50,0.000195225,0.00017526,
264,5,50,0.000299583,0.000339883,
336,5,50,0.000560281,0.000671008,
428,5,50,0.00107942,0.00141674,
546,5,50,0.00226211,0.0029061,
695,5,50,0.00453682,0.00582964,
886,5,50,0.00944567,0.0122552,
1129,5,50,0.0196578,0.0251932,
1438,5,50,0.0412374,0.05183,
1833,5,50,0.0877432,0.107718,
2336,5,50,0.18264,0.221862,
2976,5,50,0.371894,0.45886,
3793,5,50,0.794655,0.974531,
4833,5,50,1.68559,2.00941,
6158,5,50,3.52858,4.15305,
7848,5,50,7.38444,8.61417,
10000,5,50,15.3765,17.7416,
100,10,5,9.231e-06,7.951e-06,
127,10,5,1.735e-05,1.4065e-05,
162,10,5,3.6566e-05,3.5398e-05,
207,10,5,5.7141e-05,6.7271e-05,
264,10,5,0.000106193,0.000192318,
336,10,5,0.000187445,0.000183495,
428,10,5,0.000421731,0.000407054,
546,10,5,0.000800549,0.000799622,
695,10,5,0.00155128,0.00155956,
886,10,5,0.00304393,0.00325183,
1129,10,5,0.00639754,0.00601855,
1438,10,5,0.012649,0.0118807,
1833,10,5,0.0251961,0.0244843,
2336,10,5,0.0494903,0.0486172,
2976,10,5,0.100987,0.099499,
3793,10,5,0.207942,0.203313,
4833,10,5,0.431563,0.416131,
6158,10,5,0.889821,0.855077,
7848,10,5,1.83367,1.76128,
10000,10,5,3.84928,3.63525,
100,10,10,1.94e-05,1.2422e-05,
127,10,10,2.4355e-05,3.0367e-05,
162,10,10,4.7358e-05,4.9867e-05,
207,10,10,0.000121853,9.5759e-05,
264,10,10,0.00018222,0.00019016,
336,10,10,0.000348518,0.000566285,
428,10,10,0.000658232,0.000688695,
546,10,10,0.00132509,0.00136807,
695,10,10,0.00347504,0.00277285,
886,10,10,0.00569601,0.00547397,
1129,10,10,0.0108935,0.0110112,
1438,10,10,0.0225515,0.02235,
1833,10,10,0.0452377,0.0458221,
2336,10,10,0.0919351,0.0935469,
2976,10,10,0.194416,0.193203,
3793,10,10,0.401026,0.398677,
4833,10,10,0.826848,0.817029,
6158,10,10,1.69765,1.6848,
7848,10,10,3.6205,3.47456,
10000,10,10,7.55821,7.16951,
100,10,25,2.2705e-05,4.2049e-05,
127,10,25,4.4318e-05,5.0696e-05,
162,10,25,8.9172e-05,0.000103233,
207,10,25,0.000171281,0.000194115,
264,10,25,0.00034061,0.000452296,
336,10,25,0.000668407,0.00075318,
428,10,25,0.00146623,0.00149273,
546,10,25,0.00275888,0.00306883,
695,10,25,0.00572407,0.00620376,
886,10,25,0.0114244,0.0126697,
1129,10,25,0.0239778,0.0259849,
1438,10,25,0.0492916,0.0534025,
1833,10,25,0.100803,0.111964,
2336,10,25,0.213315,0.229335,
2976,10,25,0.441299,0.473345,
3793,10,25,0.910835,0.980079,
4833,10,25,1.91132,2.02105,
6158,10,25,4.02492,4.16788,
7848,10,25,8.49891,8.62569,
10000,10,25,17.8578,17.8421,
100,10,50,5.4359e-05,4.4157e-05,
127,10,50,6.815e-05,8.7569e-05,
162,10,50,0.000138053,0.000179648,
207,10,50,0.000265003,0.000377191,
264,10,50,0.000548392,0.000706078,
336,10,50,0.00110998,0.00141218,
428,10,50,0.00220352,0.00286291,
546,10,50,0.00460741,0.00599152,
695,10,50,0.00971818,0.0121605,
886,10,50,0.019563,0.0248585,
1129,10,50,0.0406946,0.0514079,
1438,10,50,0.0846879,0.10632,
1833,10,50,0.177151,0.221814,
2336,10,50,0.367078,0.45755,
2976,10,50,0.757461,0.947028,
3793,10,50,1.60054,1.95524,
