Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,3,0.75,1.274e-06,0.000165647,
4,3,0.75,2.497e-06,9.4691e-05,
5,4,0.75,1.872e-06,0.000125193,
6,5,0.75,4.511e-06,0.000137773,
7,6,0.75,6.701e-06,8.1118e-05,
8,6,0.75,3.555e-06,9.8702e-05,
9,7,0.75,4.138e-06,9.3566e-05,
10,8,0.75,4.197e-06,9.8575e-05,
11,9,0.75,5.766e-06,0.000101551,
12,9,0.75,6.145e-06,8.4523e-05,
13,10,0.75,7.172e-06,9.2027e-05,
14,11,0.75,8.837e-06,0.000129819,
15,12,0.75,2.0621e-05,8.0906e-05,
16,12,0.75,9.353e-06,0.000104639,
17,13,0.75,1.4207e-05,0.0001544,
18,14,0.75,2.8364e-05,9.204e-05,
19,15,0.75,1.811e-05,0.000102901,
20,15,0.75,1.9187e-05,0.0001609,
21,16,0.75,4.3483e-05,0.000179981,
22,17,0.75,5.5049e-05,0.000176857,
23,18,0.75,5.5438e-05,0.000178071,
24,18,0.75,6.3209e-05,0.000108158,
25,19,0.75,3.2309e-05,0.000192041,
26,20,0.75,3.7432e-05,0.000112514,
27,21,0.75,3.8867e-05,0.000113413,
28,21,0.75,4.5008e-05,0.000156087,
29,22,0.75,6.7151e-05,0.000171874,
30,23,0.75,9.2831e-05,0.000198663,
31,24,0.75,0.000131226,0.000127533,
32,24,0.75,5.4816e-05,0.00013651,
33,25,0.75,6.9684e-05,0.000200648,
34,26,0.75,0.00012331,0.000128442,
35,27,0.75,7.034e-05,0.000138421,
36,27,0.75,8.1025e-05,0.000143783,
37,28,0.75,8.9952e-05,0.000147261,
38,29,0.75,8.4651e-05,0.000148582,
39,30,0.75,9.6207e-05,0.000154058,
40,30,0.75,0.000112952,0.000284352,
41,31,0.75,0.000243271,0.000303569,
42,32,0.75,0.000255954,0.000307319,
43,33,0.75,0.000308624,0.000318292,
44,33,0.75,0.000273778,0.00015936,
45,34,0.75,0.000141051,0.000332488,
46,35,0.75,0.000330559,0.000189384,
47,36,0.75,0.00016112,0.000190724,
48,36,0.75,0.000160309,0.000380938,
49,37,0.75,0.000376659,0.000342988,
50,38,0.75,0.000323706,0.000416596,
51,39,0.75,0.000420299,0.000416587,
52,39,0.75,0.000451886,0.000223385,
53,40,0.75,0.000232013,0.00046696,
54,41,0.75,0.00049837,0.000241065,
55,42,0.75,0.000234584,0.00047419,
56,42,0.75,0.000536721,0.000396765,
57,43,0.75,0.000527657,0.00049634,
58,44,0.75,0.000589201,0.000521696,
59,45,0.75,0.000625505,0.000275209,
60,45,0.75,0.000317027,0.000555111,
61,46,0.75,0.000673379,0.000299493,
62,47,0.75,0.000363105,0.00030077,
63,48,0.75,0.000386166,0.000317743,
64,48,0.75,0.000353193,0.00064815,
65,49,0.75,0.00080459,0.000354058,
66,50,0.75,0.000431937,0.000349586,
67,51,0.75,0.000411709,0.000360816,
68,51,0.75,0.000409712,0.000717855,
69,52,0.75,0.000954757,0.000371935,
70,53,0.75,0.000495039,0.000382762,
71,54,0.75,0.000537221,0.000407276,
72,54,0.75,0.000549194,0.000405988,
73,55,0.75,0.000511215,0.000433698,
74,56,0.75,0.000532234,0.000432823,
75,57,0.75,0.00055389,0.000904256,
76,57,0.75,0.000646382,0.000705781,
77,58,0.75,0.00067679,0.000454047,
78,59,0.75,0.00061509,0.000476351,
79,60,0.75,0.000650757,0.00048428,
80,60,0.75,0.000648394,0.00047034,
81,61,0.75,0.000685363,0.000502356,
82,62,0.75,0.000708214,0.000881085,
83,63,0.75,0.00103969,0.000545522,
84,63,0.75,0.000755376,0.00114992,
85,64,0.75,0.000975507,0.00117882,
86,65,0.75,0.000814221,0.00093397,
87,66,0.75,0.000855314,0.000599455,
88,66,0.75,0.000859622,0.000604563,
89,67,0.75,0.000915372,0.00129967,
90,68,0.75,0.00101277,0.000645628,
91,69,0.75,0.000963684,0.00103058,
92,69,0.75,0.00110611,0.00143578,
93,70,0.75,0.00111947,0.000689154,
94,71,0.75,0.00120717,0.000718909,
95,72,0.75,0.00109555,0.00157103,
96,72,0.75,0.00136936,0.000744477,
97,73,0.75,0.00119027,0.000762554,
98,74,0.75,0.00117865,0.00166368,
99,75,0.75,0.00122891,0.00105716,
100,75,0.75,0.00122916,0.000818039,
101,76,0.75,0.00126815,0.00177931,
102,77,0.75,0.00133097,0.00127986,
103,78,0.75,0.00137255,0.000882529,
104,78,0.75,0.00147078,0.00128558,
105,79,0.75,0.00141761,0.00194126,
106,80,0.75,0.00151915,0.000954579,
107,81,0.75,0.00156043,0.000963826,
108,81,0.75,0.00170238,0.000986212,
109,82,0.75,0.00166544,0.00211221,
110,83,0.75,0.00165565,0.00103045,
111,84,0.75,0.00173229,0.00226388,
112,84,0.75,0.00191201,0.00107094,
113,85,0.75,0.00181525,0.00110104,
114,86,0.75,0.00188123,0.00256931,
115,87,0.75,0.00192898,0.00121991,
116,87,0.75,0.0019422,0.00253773,
117,88,0.75,0.00202019,0.0012861,
118,89,0.75,0.00208178,0.00190176,
119,90,0.75,0.00213255,0.00131563,
120,90,0.75,0.00215499,0.00282806,
121,91,0.75,0.00221931,0.00291018,
122,92,0.75,0.00228772,0.0021272,
123,93,0.75,0.0023584,0.00298714,
124,93,0.75,0.00238008,0.00146307,
125,94,0.75,0.00242116,0.00301888,
126,95,0.75,0.00251503,0.00314734,
127,96,0.75,0.0027271,0.00315704,
128,96,0.75,0.00260151,0.00317993,
129,97,0.75,0.00273926,0.00163747,
130,98,0.75,0.00274134,0.00339574,
131,99,0.75,0.00285369,0.00353245,
132,99,0.75,0.00289421,0.00330224,
133,100,0.75,0.00291144,0.00185251,
134,101,0.75,0.00298916,0.00373159,
135,102,0.75,0.00306401,0.00185502,
136,102,0.75,0.00307368,0.00366794,
137,103,0.75,0.00336462,0.00191019,
138,104,0.75,0.00323583,0.0019695,
139,105,0.75,0.00332948,0.00200855,
140,105,0.75,0.00337469,0.00200289,
141,106,0.75,0.00347423,0.00405675,
142,107,0.75,0.00351857,0.00208662,
143,108,0.75,0.00394226,0.00406496,
144,108,0.75,0.00379309,0.00406322,
145,109,0.75,0.00377697,0.00224,
146,110,0.75,0.00408272,0.00435109,
147,111,0.75,0.00408013,0.00230521,
148,111,0.75,0.00391474,0.00228234,
149,112,0.75,0.00406044,0.00434278,
150,113,0.75,0.00416023,0.0034145,
151,114,0.75,0.00425089,0.0032753,
152,114,0.75,0.00438135,0.00248388,
153,115,0.75,0.00437366,0.00252787,
154,116,0.75,0.00444454,0.0025995,
155,117,0.75,0.00460236,0.0047826,
156,117,0.75,0.00465617,0.00299502,
157,118,0.75,0.00471467,0.00273384,
158,119,0.75,0.00479171,0.00330345,
159,120,0.75,0.00493845,0.00480164,
160,120,0.75,0.00522469,0.00483787,
161,121,0.75,0.00505624,0.00347206,
162,122,0.75,0.00515886,0.00495157,
163,123,0.75,0.00529125,0.00301244,
164,123,0.75,0.00554976,0.00336306,
165,124,0.75,0.00544247,0.0031105,
166,125,0.75,0.00546742,0.00318447,
167,126,0.75,0.00564734,0.00323085,
168,126,0.75,0.00561985,0.00522404,
169,127,0.75,0.00584965,0.00346225,
170,128,0.75,0.00591392,0.00337743,
171,129,0.75,0.00607258,0.00345185,
172,129,0.75,0.00637694,0.00392401,
173,130,0.75,0.00662155,0.00348924,
174,131,0.75,0.00631577,0.00356665,
175,132,0.75,0.00642023,0.0037461,
176,132,0.75,0.00685381,0.00363776,
177,133,0.75,0.00665726,0.00388192,
178,134,0.75,0.00675163,0.00577009,
