dimension,elapsed_time
4,0.000004000
5,0.000001000
6,0.000001000
7,0.000001000
8,0.000001000
9,0.000001000
10,0.000001000
11,0.000001000
12,0.000002000
13,0.000002000
14,0.000002000
15,0.000003000
16,0.000002000
17,0.000003000
18,0.000005000
19,0.000004000
20,0.000004000
21,0.000004000
22,0.000006000
23,0.000006000
24,0.000006000
25,0.000008000
26,0.000008000
27,0.000008000
28,0.000008000
29,0.000011000
30,0.000012000
31,0.000010000
32,0.000014000
33,0.000012000
34,0.000013000
35,0.000017000
36,0.000016000
37,0.000017000
38,0.000017000
39,0.000021000
40,0.000020000
41,0.000020000
42,0.000041000
43,0.000025000
44,0.000026000
45,0.000041000
46,0.000030000
47,0.000035000
48,0.000031000
49,0.000037000
50,0.000039000
51,0.000038000
52,0.000046000
53,0.000044000
54,0.000044000
55,0.000114000
56,0.000054000
57,0.000054000
58,0.000054000
59,0.000071000
60,0.000066000
61,0.000061000
62,0.000074000
63,0.000074000
64,0.000071000
65,0.000083000
66,0.000081000
67,0.000080000
68,0.000081000
69,0.000095000
70,0.000095000
71,0.000092000
72,0.000106000
73,0.000103000
74,0.000106000
75,0.000125000
76,0.000118000
77,0.000120000
78,0.000118000
79,0.000138000
80,0.000135000
81,0.000134000
82,0.000151000
83,0.000144000
84,0.000128000
85,0.000168000
86,0.000171000
87,0.000172000
88,0.000173000
89,0.000199000
90,0.000191000
91,0.000193000
92,0.000206000
93,0.000210000
94,0.000210000
95,0.000238000
96,0.000229000
97,0.000231000
98,0.000233000
99,0.000250000
100,0.000266000
101,0.000253000
102,0.000403000
103,0.000278000
104,0.000245000
105,0.000263000
106,0.000264000
107,0.000267000
108,0.000270000
109,0.000289000
110,0.000290000
111,0.000304000
112,0.000311000
113,0.000336000
114,0.000317000
115,0.000358000
116,0.000340000
117,0.000340000
118,0.000343000
119,0.000335000
120,0.000338000
121,0.000347000
122,0.000376000
123,0.000381000
124,0.000381000
125,0.000394000
126,0.000391000
127,0.000392000
128,0.000385000
129,0.000399000
130,0.000408000
131,0.000402000
132,0.000420000
133,0.000422000
134,0.000429000
135,0.000449000
136,0.000453000
137,0.000430000
138,0.000434000
139,0.000455000
140,0.000457000
141,0.000471000
142,0.000484000
143,0.000489000
144,0.000492000
145,0.000530000
146,0.000547000
147,0.000510000
148,0.000501000
149,0.000523000
150,0.000526000
151,0.000534000
152,0.000590000
153,0.000560000
154,0.000561000
155,0.000567000
156,0.000574000
157,0.000575000
158,0.000576000
159,0.000607000
160,0.000631000
161,0.000601000
162,0.000620000
163,0.000630000
164,0.000659000
165,0.000650000
166,0.000659000
167,0.000646000
168,0.000643000
169,0.000670000
170,0.000687000
171,0.000682000
172,0.000722000
173,0.000689000
174,0.000688000
175,0.000718000
176,0.000726000
177,0.000737000
178,0.000733000
179,0.000768000
180,0.000756000
181,0.000748000
182,0.000781000
183,0.000781000
184,0.000785000
185,0.000827000
186,0.000796000
187,0.000810000
188,0.000813000
189,0.000838000
190,0.000843000
191,0.000852000
192,0.000899000
193,0.000899000
194,0.000886000
195,0.000926000
196,0.000971000
197,0.000928000
198,0.000956000
199,0.000971000
200,0.000973000
201,0.000993000
202,0.001021000
203,0.001022000
204,0.001070000
205,0.001070000
206,0.001073000
207,0.001073000
208,0.001074000
209,0.001118000
210,0.001117000
211,0.001129000
212,0.001173000
213,0.001179000
214,0.001216000
215,0.001260000
216,0.001254000
217,0.001305000
218,0.001275000
219,0.001335000
220,0.001312000
221,0.001348000
222,0.001397000
223,0.001369000
224,0.001369000
225,0.001418000
226,0.001433000
227,0.001429000
228,0.001466000
229,0.001472000
230,0.001523000
231,0.001499000
232,0.001544000
233,0.001560000
234,0.001594000
235,0.001632000
236,0.001677000
237,0.001648000
238,0.001662000
239,0.001681000
240,0.001675000
241,0.001682000
242,0.001734000
243,0.001772000
244,0.001760000
245,0.001794000
246,0.001847000
247,0.001819000
248,0.002067000
249,0.002023000
250,0.001990000
251,0.001995000
252,0.002052000
253,0.002001000
254,0.001959000
255,0.002014000
256,0.002065000
257,0.002026000
258,0.002030000
259,0.002121000
260,0.002102000
261,0.002121000
262,0.002212000
263,0.002173000
264,0.002222000
265,0.002253000
266,0.002263000
267,0.002284000
268,0.002282000
269,0.002371000
270,0.002367000
271,0.002358000
272,0.002449000
273,0.002443000
274,0.002430000
275,0.002584000
276,0.002515000
277,0.002511000
278,0.002561000
279,0.002586000
280,0.002679000
281,0.002652000
282,0.002716000
283,0.002745000
284,0.002737000
285,0.002793000
286,0.002773000
287,0.002838000
288,0.002803000
289,0.002873000
290,0.002895000
291,0.002949000
292,0.002984000
293,0.002985000
294,0.002973000
295,0.003068000
296,0.003107000
297,0.003073000
298,0.003110000
299,0.003166000
300,0.003210000
301,0.003197000
302,0.003299000
303,0.003264000
304,0.003307000
305,0.003364000
306,0.003394000
307,0.003445000
308,0.003517000
309,0.003525000
310,0.003485000
311,0.003494000
312,0.003595000
313,0.003624000
314,0.003658000
315,0.003759000
316,0.004028000
317,0.003775000
318,0.003791000
319,0.003799000
320,0.003809000
321,0.003891000
322,0.003970000
323,0.003958000
324,0.003962000
325,0.004056000
326,0.004070000
327,0.004190000
328,0.004124000
329,0.004233000
330,0.004198000
331,0.004192000
332,0.004285000
333,0.004404000
334,0.004335000
335,0.004466000
336,0.004425000
337,0.004430000
338,0.004464000
339,0.004605000
340,0.004629000
341,0.004654000
342,0.004672000
343,0.004736000
344,0.004708000
345,0.004877000
346,0.004843000
347,0.004922000
348,0.004861000
349,0.004973000
350,0.005032000
351,0.005089000
352,0.005152000
353,0.005089000
354,0.005140000
355,0.005318000
356,0.005270000
357,0.005266000
358,0.005254000
359,0.005392000
360,0.005455000
361,0.005496000
362,0.005601000
363,0.005527000
364,0.005584000
365,0.005733000
366,0.005750000
367,0.005754000
368,0.005695000
369,0.005838000
370,0.005871000
371,0.005910000
372,0.006002000
373,0.005999000
374,0.006116000
375,0.006240000
376,0.006291000
377,0.006210000
378,0.006198000
379,0.006324000
380,0.006353000
381,0.006309000
382,0.006475000
383,0.006543000
384,0.006540000
385,0.006606000
386,0.006636000
387,0.006682000
388,0.006781000
389,0.006793000
390,0.006863000
391,0.006942000
392,0.007044000
393,0.006969000
394,0.006983000
395,0.007273000
396,0.007211000
397,0.007165000
398,0.007219000
399,0.007502000
400,0.007373000
401,0.007470000
402,0.007606000
403,0.007633000
404,0.007608000
405,0.007717000
406,0.007747000
407,0.007827000
408,0.007744000
409,0.007957000
410,0.008609000
411,0.008433000
412,0.008211000
413,0.008100000
414,0.008152000
415,0.008284000
416,0.008404000
417,0.008352000
418,0.008395000
419,0.008493000
420,0.008555000
421,0.008497000
422,0.008660000
423,0.008671000
424,0.008655000
425,0.008856000
426,0.008846000
427,0.008906000
428,0.008899000
429,0.009130000
430,0.009117000
431,0.009112000
432,0.009380000
433,0.009316000
434,0.009610000
435,0.009611000
436,0.009536000
437,0.009567000
438,0.009655000
439,0.009716000
440,0.009814000
441,0.009883000
442,0.010013000
443,0.010043000
444,0.010085000
445,0.010154000
446,0.010395000
447,0.010224000
448,0.010278000
449,0.010676000
450,0.010540000
451,0.010676000
452,0.010908000
453,0.010757000
454,0.011480000
455,0.011269000
456,0.011643000
457,0.011533000
458,0.011285000
459,0.011576000
460,0.011572000
461,0.011651000
462,0.011861000
463,0.011929000
464,0.011922000
465,0.013341000
466,0.012909000
467,0.012171000
468,0.012183000
469,0.012309000
470,0.012376000
471,0.012436000
472,0.012641000
473,0.012632000
474,0.012618000
475,0.012869000
476,0.012835000
477,0.012994000
478,0.012891000
479,0.013102000
480,0.013091000
481,0.013253000
482,0.013398000
483,0.013460000
484,0.013499000
485,0.013609000
486,0.013697000
487,0.013713000
488,0.014885000
489,0.015723000
490,0.014357000
491,0.014039000
492,0.014140000
493,0.014316000
494,0.014520000
495,0.014945000
496,0.014864000
497,0.014467000
498,0.014502000
499,0.014820000
500,0.014777000
501,0.014892000
502,0.015097000
503,0.015040000
504,0.015091000
505,0.016049000
506,0.015544000
507,0.015839000
508,0.015446000
509,0.015588000
510,0.015727000
511,0.015695000
512,0.016057000
513,0.016020000
514,0.015964000
515,0.016161000
516,0.016226000
517,0.016309000
518,0.016286000
519,0.016571000
520,0.016606000
521,0.017094000
522,0.017059000
523,0.016887000
524,0.016815000
525,0.017119000
526,0.017137000
527,0.017162000
528,0.017340000
529,0.017615000
